labels,text
sports,"শাহবাজ়ের লড়াকু ব্যাটিং! বাংলার প্রথম ইনিংস শেষ, এখনও শেষ চার নিশ্চিত নয় মনোজদের"
national,"বুলডোজার রাজ কাশ্মীরে, প্রতিবাদ"
national,"হিংসা চলছেই, মণিপুরের গ্রামে খুন আরও ৩"
international,সেন্ট পিটার্সবার্গে বিস্ফোরণ  মৃত রুশ সামরিক ব্লগার  ধৃত আততায়ী
kolkata,"যোধপুর পার্কে হঠাৎ  উপড়ালো কৃষ্ণচূড়া,  চাপা পড়ে আহত  যুবক-সহ তিন"
international,দক্ষিণ এশিয়ায় ভারতের পরে বাংলাদেশকে বড় অংশীদার মনে করে রাশিয়া
state,কালিয়াগঞ্জের ঘটনায় সিট গঠন করলো কলকাতা হাই কোর্ট
kolkata,সল্টলেকে ছাগলের খোঁয়াড়ের আড়ালে কোটি কোটি টাকার মাদকের কারবার! গ্রেফতার ২
entertainment,চা খাওয়ায় বাধা পোশাক! জালের ভিতর যুদ্ধ করলেন উরফি
national,এস এ পরিবহন অফিসের আগুন নিয়ন্ত্রণে
politics,"কমিশনের কোর্টে বল, তাঁরাই আসল শিবসেনা প্রমাণ করতে কর্মী চাইছেন উদ্ধব"
international,ফ্রান্সে দুই আবাসিক ভবন বিধ্বস্ত: নিখোঁজ ১০
state,জনতার পঞ্চায়েত গড়তে বুথ রক্ষার লড়াইয়ে বাংলা
technology,"Whatsapp Features: হোয়াটসঅ্যাপে চালু হতে চলেছে দুটি গুরুত্বপূর্ণ ফিচার, আগামী দিনে কী কী সুবিধা পাবেন ইউজাররা?"
national,"Murder: গলায় ক্ষুর চালিয়ে ১৪ বছরের নাবালিকাকে খুনের চেষ্টা, গ্রেপ্তার নিকট আত্মীয়"
international,১৪০ দিন পর খাবার খেলেন ফিলিস্তিনি
politics,অর্জুনের পর লাইনে কে? রাজ্যের ঢালাও প্রশংসায় চর্চায় BJP-র তারকা বিধায়ক
editorial,সম্পাদক সমীপেষু: এলেবেলে স্কুলশিক্ষা
technology,"PAN-Aadhaar Linking: হাতে বাকি ৫দিন, এদের করতে হবে না প্যান-আধার লিঙ্ক"
kolkata,দশমীতে খুন জেনেও একাদশীতে অয়নের বাড়ি গিয়ে ‘ভিকি কোথায়’ বলে কুম্ভীরাশ্রু বান্ধবীর!
entertainment,"হৃতিকের সঙ্গে প্রেম, সেই কারণেই কি কঙ্গনাকে জেলে ভরতে চেয়েছিল বলিউড?"
lifestyle,টেলিভিশনে মায়া বড়ির বিজ্ঞাপন নিয়ে সত্তরের দশকের বাংলাদেশে যা ঘটেছিল
entertainment,"‘ইতিহাস উৎসব’-এ উত্তমকুমারকে নিয়ে প্রদর্শনী, আয়োজনে সাবর্ণ রায়চৌধুরী পরিবার"
sports,"এখনও চোখেই দেখেননি, তাকেই সাফল্য উৎসর্গ কেকেআর বোলারের"
lifestyle,"বিয়ের আগে নখ বাড়াতে চান? কোন ঘরোয়া উপায়েই পাবেন সুন্দর, লম্বা নখ"
international,ব্রিটেনে চলছে রেল ধর্মঘট
technology,Flipkart Diwali Sale 2018: বৃহস্পতিবার থেকে ফ্লিপকার্টে আইফোনের ওপর অফুরন্ত ছাড়
technology,টেলিকম ব্যবসায় ধাক্কা খেতে চলেছে জিও? এয়ারটেলের সঙ্গে জোট বাঁধল টাটা
kolkata,পার্থর বাড়িতেই চাকরি বিক্রির অফিস
editorial,অতি অল্প হইল
technology,১১০টি স্পোর্টস মোড সহ Dizo Watch 2 Sports স্মার্টওয়াচ লঞ্চ হল ভারতে
sports,৫ কারণ: বিশ্বকাপে কী ভাবে আফগানিস্তানকে হারাল রোহিতের ভারত?
politics,সরকার হটানোর দিবাস্বপ্ন দেখছে বিএনপি: কাদের
international,ইসরায়েলি হত্যার প্রতিশোধ নিতে ফিলিস্তিনি ঘরবাড়ি ও জলপাই বাগানে আগুন
national,স্ত্রীর মৃতদেহ কাঁধে পথ হাঁটলেন আদিবাসী যুবক
technology,Reliance Jio Oppo Monsoon offer: পাওয়া যাবে ৪৯০০ টাকার ক্যাশব্যাক
international,ভারতে বাসস্ট্যান্ডের নাম ‘বাংলাদেশ’
entertainment,"ভাড়া বাকি, নওয়াজ়উদ্দিনের স্ত্রী আলিয়াকে দুবাইয়ের বাড়ি ছাড়ার নির্দেশ সে দেশের সরকারের"
editorial,"জাহাজের কেবিন থেকে ঘরের চার দেওয়ালে বন্দি, বিবর্তনের ‘কোয়ারেন্টাইন’"
international,"যুক্তরাষ্ট্রে আবারও বন্দুক হামলা, প্রাণ হারালেন তিন ফুটবলার"
lifestyle,"ধর্ম নিয়ে ‘নিন্দনীয় বিষয়’ না সরানোর শাস্তি, পাকিস্তানে নিষিদ্ধ হল উইকিপিডিয়া"
state,"গাজোলে বাস দুর্ঘটনায় মৃত ৪, আহত ২৫"
entertainment,আইআইটি বম্বের ইঞ্জিনিয়ারিং ছেড়ে ‘কোটা ফ্যাক্টরি’তে ঢুকে নজর কাড়ছেন ‘অচেনা’ রঞ্জন
editorial,"ইস্তেহারের প্রতিশ্রুতি, পূরণ-অপূরণের চুলচেরা বিশ্লেষণ"
politics,"‘সবজির দাম বাড়ার জন্য দায়ি মুসলিমরা’, বেফাঁস মন্তব্যে তুঙ্গে বিতর্ক, পাল্টা ওয়াইসি-আজমল"
technology,হোয়াটসঅ্যাপে আসা ভুয়ো খবর ধরবেন কীভাবে?
politics,‘সবার আগে খালেদা জিয়াকে মুক্তি দিতে হবে’
international,বরিস জনসনের ৪ সহযোগীর পদত্যাগ
international,অর্থনীতিতে নোবেল পেলেন তিনজন
sports,টস জিতে ফিল্ডিংয়ে বাংলাদেশ
lifestyle,"সমুদ্রের নোনা জল, রোদ আর বালিতে চোখের দফারফা! চোখের যত্ন নেবেন কী ভাবে?"
kolkata,স্কুলগাড়ির চালকদের সচেতনতার পাঠ দিল পুলিশ এবং আইআইটি
editorial,"খাবার না জুটুক, বেঁচে থাক মাস্ক-সাবান-স্যানিটাইজ়ার"
politics,"আতিক আহমেদ হত্যা নিয়ে ‘মারাত্মক’ অভিযোগ মায়াবতীর, যোগীর পদত্যাগের দাবিতে সোচ্চার"
politics,"বিরোধী ঐক্যে জোরালো বার্তা, খড়গে, রাহুলের সঙ্গে ইঙ্গিতপূর্ণ বৈঠক শরদ পাওয়ারের"
lifestyle,আলু খাওয়া মানেই কি শরীরের জন্য ক্ষতিকর? রস করে খেলে কী সুফল মেলে?
national,দার্জিলিঙে সাড়া ফেলে শুরু বাগিচা শ্রমিক সম্মেলন
politics,করোনামুক্ত খালেদা জিয়া
international,নেপালে বিমান দুর্ঘটনায় নিহত বেড়ে ৬৮
kolkata,কলকাতায় ঠিক কত কোভিড? ডিসেম্বরের হিসাবে কেন্দ্রে-রাজ্যে সংখ্যার বিশাল ফারাক
